Profit,Capacity_Score,Area,Age,Food_Diversity_Score,Type,Price_Range,City,State
120979.4126,7,Suburbs,Developed,8,Full Service Restaurant,1,Los Angeles,CA
125110.2161,3,Suburbs,Recent,1,Full Service Restaurant,2,Los Angeles,CA
129506.5391,4,Suburbs,Recent,2,Cafeteria,1,Los Angeles,CA
149520.8609,5,Downtown,Developed,9,Full Service Restaurant,2,Los Angeles,CA
170165.0074,1,Downtown,Developed,1,Banquet,2,Los Angeles,CA
160962.5559,5,Suburbs,Recent,5,Full Service Restaurant,3,Los Angeles,CA
171677.4326,5,Suburbs,Well-Known,10,Full Service Restaurant,5,Los Angeles,CA
175168.4361,2,Suburbs,Well-Known,1,Cafeteria,5,Los Angeles,CA
106771.3183,6,Downtown,Developed,4,Banquet,2,Los Angeles,CA
137814.4872,2,Downtown,Recent,5,Banquet,5,Los Angeles,CA
182131.6112,2,Suburbs,Well-Known,1,Full Service Restaurant,2,Los Angeles,CA
90417.41323,5,Downtown,Developed,6,Cafeteria,4,Los Angeles,CA
149231.9515,2,Downtown,Well-Known,1,Full Service Restaurant,1,Los Angeles,CA
92202.17763,7,Suburbs,Well-Known,2,Cafeteria,1,Los Angeles,CA
150074.6174,4,Suburbs,Developed,9,Full Service Restaurant,5,Los Angeles,CA
177661.2936,5,Suburbs,Recent,7,Banquet,5,Los Angeles,CA
151948.2374,5,Downtown,Well-Known,8,Banquet,1,Los Angeles,CA
158970.3999,4,Downtown,Developed,8,Cafeteria,3,Los Angeles,CA
181823.55,6,Suburbs,Developed,6,Full Service Restaurant,2,Los Angeles,CA
98998.39737,2,Suburbs,Developed,3,Banquet,5,Los Angeles,CA
128523.3153,3,Suburbs,Well-Known,9,Cafeteria,1,Los Angeles,CA
112390.2222,4,Suburbs,Recent,8,Banquet,3,Los Angeles,CA
95255.93732,4,Downtown,Developed,9,Cafeteria,1,Los Angeles,CA
159861.0183,4,Suburbs,Developed,7,Banquet,3,Los Angeles,CA
131700.4988,2,Downtown,Developed,2,Full Service Restaurant,2,Los Angeles,CA
164913.9832,4,Downtown,Developed,6,Banquet,2,Los Angeles,CA
107402.4945,2,Suburbs,Developed,7,Cafeteria,3,Los Angeles,CA
201162.0254,5,Downtown,Developed,6,Full Service Restaurant,5,Los Angeles,CA
159622.195,3,Downtown,Recent,1,Cafeteria,2,Los Angeles,CA
104391.4738,6,Suburbs,Well-Known,10,Banquet,3,Los Angeles,CA
145092.7852,4,Downtown,Developed,1,Cafeteria,2,Los Angeles,CA
201308.3495,5,Downtown,Developed,2,Full Service Restaurant,2,Los Angeles,CA
139076.7825,1,Suburbs,Well-Known,8,Cafeteria,2,Los Angeles,CA
152209.0208,6,Downtown,Recent,10,Banquet,3,Los Angeles,CA
187064.677,2,Downtown,Recent,3,Full Service Restaurant,5,Los Angeles,CA
132883.1969,5,Downtown,Recent,1,Full Service Restaurant,3,Los Angeles,CA
156793.2018,2,Downtown,Well-Known,10,Cafeteria,3,Los Angeles,CA
83485.09365,3,Suburbs,Recent,4,Cafeteria,3,Los Angeles,CA
196577.011,5,Suburbs,Developed,5,Full Service Restaurant,1,Los Angeles,CA
140319.8552,1,Downtown,Well-Known,5,Banquet,3,Los Angeles,CA
123535.2461,5,Downtown,Recent,1,Banquet,4,Los Angeles,CA
168220.3071,4,Downtown,Well-Known,4,Cafeteria,1,Los Angeles,CA
189187.6621,4,Downtown,Developed,6,Banquet,3,Los Angeles,CA
86858.43303,3,Suburbs,Recent,10,Banquet,3,Los Angeles,CA
174904.2166,2,Downtown,Developed,1,Banquet,2,Los Angeles,CA
162916.0361,4,Downtown,Developed,8,Cafeteria,4,Los Angeles,CA
142017.5032,1,Suburbs,Developed,10,Cafeteria,3,Los Angeles,CA
163439.4129,7,Suburbs,Well-Known,7,Full Service Restaurant,3,Los Angeles,CA
143790.1423,7,Suburbs,Developed,10,Full Service Restaurant,1,Los Angeles,CA
144241.3332,4,Suburbs,Well-Known,10,Cafeteria,2,Los Angeles,CA
140869.6469,4,Downtown,Developed,7,Full Service Restaurant,4,Los Angeles,CA
115922.9865,1,Downtown,Developed,9,Cafeteria,2,Los Angeles,CA
129473.1,3,Suburbs,Well-Known,2,Cafeteria,4,Los Angeles,CA
143274.4425,4,Downtown,Developed,1,Cafeteria,5,Los Angeles,CA
172446.6954,3,Downtown,Developed,8,Full Service Restaurant,2,Los Angeles,CA
185951.5107,3,Suburbs,Recent,8,Full Service Restaurant,5,Los Angeles,CA
122602.6302,4,Downtown,Developed,10,Cafeteria,4,Los Angeles,CA
152338.9496,5,Suburbs,Well-Known,5,Cafeteria,4,Los Angeles,CA
165012.9004,5,Suburbs,Well-Known,8,Cafeteria,1,Los Angeles,CA
116024.122,1,Downtown,Recent,1,Full Service Restaurant,3,West Hollywood,CA
109782.5472,6,Suburbs,Recent,7,Full Service Restaurant,2,Los Angeles,CA
169372.9476,1,Suburbs,Well-Known,9,Cafeteria,2,Los Angeles,CA
159110.872,5,Suburbs,Recent,6,Banquet,3,Los Angeles,CA
189542.8763,3,Suburbs,Well-Known,1,Banquet,5,Los Angeles,CA
146367.3551,2,Downtown,Well-Known,2,Cafeteria,1,Los Angeles,CA
176011.0718,2,Downtown,Recent,10,Banquet,1,Playa Vista,CA
169823.2827,6,Downtown,Developed,5,Banquet,1,Los Angeles,CA
171917.617,1,Suburbs,Developed,7,Banquet,5,Bell Gardens,CA
102498.6916,6,Suburbs,Recent,5,Cafeteria,4,Beverly Hills,CA
176909.1406,2,Downtown,Developed,5,Full Service Restaurant,1,Beverly Hills,CA
116208.6374,2,Downtown,Developed,4,Banquet,4,Beverly Hills,CA
176219.4211,1,Downtown,Well-Known,4,Full Service Restaurant,3,Compton,CA
158443.6024,5,Downtown,Recent,5,Banquet,3,Compton,CA
197675.9912,7,Suburbs,Well-Known,2,Banquet,4,Compton,CA
191430.6191,2,Downtown,Recent,2,Full Service Restaurant,5,Culver City,CA
90817.44286,2,Downtown,Well-Known,3,Cafeteria,5,Culver City,CA
83836.8762,4,Suburbs,Well-Known,4,Cafeteria,2,Downey,CA
140292.819,4,Downtown,Recent,3,Cafeteria,2,Downey,CA
174794.2737,1,Downtown,Developed,4,Full Service Restaurant,4,Downey,CA
115186.381,3,Suburbs,Well-Known,5,Cafeteria,1,El Segundo,CA
118233.1728,5,Downtown,Recent,3,Banquet,2,Gardena,CA
94643.67042,1,Suburbs,Recent,3,Cafeteria,3,Gardena,CA
153408.1761,3,Suburbs,Recent,9,Cafeteria,2,Gardena,CA
205152.3547,7,Downtown,Well-Known,1,Full Service Restaurant,3,Hawthorne,CA
125494.9195,7,Downtown,Well-Known,7,Cafeteria,5,Hermosa Beach,CA
215838.7746,1,Downtown,Well-Known,1,Full Service Restaurant,4,Huntington Park,CA
189956.7083,5,Suburbs,Recent,10,Full Service Restaurant,4,Lawndale,CA
141825.8931,7,Downtown,Recent,7,Banquet,5,Lynwood,CA
165574.7855,4,Downtown,Developed,1,Cafeteria,1,Malibu,CA
166644.2638,5,Suburbs,Well-Known,2,Cafeteria,2,Malibu,CA
124976.0834,4,Suburbs,Developed,6,Full Service Restaurant,4,Manhattan Beach,CA
177258.5101,3,Suburbs,Well-Known,4,Full Service Restaurant,4,Maywood,CA
99449.55782,1,Suburbs,Well-Known,9,Cafeteria,5,Pacific Palisades,CA
165772.6836,4,Downtown,Well-Known,7,Cafeteria,5,Palos Verdes Peninsula,CA
138206.9664,5,Downtown,Developed,10,Cafeteria,5,Rancho Palos Verdes,CA
140400.5248,4,Downtown,Well-Known,7,Cafeteria,2,Redondo Beach,CA
136294.2123,7,Suburbs,Developed,8,Banquet,1,Redondo Beach,CA
186905.6188,3,Downtown,Well-Known,6,Banquet,4,South Gate,CA
135388.457,2,Downtown,Well-Known,8,Full Service Restaurant,1,Topanga,CA
154978.1971,1,Downtown,Well-Known,6,Banquet,4,Venice,CA
102181.5487,6,Downtown,Developed,8,Banquet,2,Marina Del Rey,CA
97549.54206,5,Suburbs,Recent,2,Banquet,4,Playa Del Rey,CA
164381.1165,5,Suburbs,Well-Known,7,Banquet,4,Inglewood,CA
141222.1926,3,Downtown,Well-Known,5,Banquet,4,Inglewood,CA
104023.5497,5,Downtown,Well-Known,8,Banquet,4,Inglewood,CA
176410.4007,3,Suburbs,Well-Known,5,Cafeteria,2,Inglewood,CA
131752.6657,5,Suburbs,Well-Known,8,Full Service Restaurant,3,Inglewood,CA
131046.587,4,Downtown,Developed,8,Full Service Restaurant,5,Santa Monica,CA
142699.6628,6,Downtown,Well-Known,4,Banquet,3,Santa Monica,CA
157012.6253,6,Downtown,Developed,8,Full Service Restaurant,5,Santa Monica,CA
164563.8568,4,Suburbs,Well-Known,5,Full Service Restaurant,5,Santa Monica,CA
