ID,Date,Profit,Capacity_Score,Area,Age,Food_Diversity_Score,Type,Price_Range,Lat,Long,City,State
1,1/1/2015,120979.4126,7,Suburbs,Developed,8,Full Service Restaurant,1,33.97398,-118.24955,Los Angeles,CA
2,1/2/2015,125110.2161,3,Suburbs,Recent,1,Full Service Restaurant,2,33.94901,-118.24674,Los Angeles,CA
3,1/3/2015,129506.5391,4,Suburbs,Recent,2,Cafeteria,1,33.96411,-118.2737,Los Angeles,CA
4,1/4/2015,149520.8609,5,Downtown,Developed,9,Full Service Restaurant,2,34.07621,-118.31084,Los Angeles,CA
5,1/5/2015,170165.0074,1,Downtown,Developed,1,Banquet,2,34.05912,-118.30654,Los Angeles,CA
6,1/6/2015,160962.5559,5,Suburbs,Recent,5,Full Service Restaurant,3,34.04801,-118.29418,Los Angeles,CA
7,1/7/2015,171677.4326,5,Suburbs,Well-Known,10,Full Service Restaurant,5,34.02809,-118.28489,Los Angeles,CA
8,1/8/2015,175168.4361,2,Suburbs,Well-Known,1,Cafeteria,5,34.00956,-118.34706,Los Angeles,CA
9,1/9/2015,106771.3183,6,Downtown,Developed,4,Banquet,2,34.06211,-118.31577,Los Angeles,CA
10,1/10/2015,137814.4872,2,Downtown,Recent,5,Banquet,5,34.00714,-118.25874,Los Angeles,CA
11,1/11/2015,182131.6112,2,Suburbs,Well-Known,1,Full Service Restaurant,2,34.06599,-118.23821,Los Angeles,CA
12,1/12/2015,90417.41323,5,Downtown,Developed,6,Cafeteria,4,34.04481,-118.24033,Los Angeles,CA
13,1/13/2015,149231.9515,2,Downtown,Well-Known,1,Full Service Restaurant,1,34.04308,-118.25169,Los Angeles,CA
14,1/14/2015,92202.17763,7,Suburbs,Well-Known,2,Cafeteria,1,34.03939,-118.26645,Los Angeles,CA
15,1/15/2015,150074.6174,4,Suburbs,Developed,9,Full Service Restaurant,5,34.02872,-118.3546,Los Angeles,CA
16,1/16/2015,177661.2936,5,Suburbs,Recent,7,Banquet,5,34.05291,-118.2643,Los Angeles,CA
17,1/17/2015,151948.2374,5,Downtown,Well-Known,8,Banquet,1,34.02887,-118.3172,Los Angeles,CA
18,1/18/2015,158970.3999,4,Downtown,Developed,8,Cafeteria,3,34.04864,-118.33868,Los Angeles,CA
19,1/19/2015,181823.55,6,Suburbs,Developed,6,Full Service Restaurant,2,34.06639,-118.3099,Los Angeles,CA
20,1/20/2015,98998.39737,2,Suburbs,Developed,3,Banquet,5,34.02931,-118.23873,Los Angeles,CA
21,1/21/2015,128523.3153,3,Suburbs,Well-Known,9,Cafeteria,1,34.02453,-118.15609,Los Angeles,CA
22,1/22/2015,112390.2222,4,Suburbs,Recent,8,Banquet,3,34.02276,-118.19989,Los Angeles,CA
23,1/23/2015,95255.93732,4,Downtown,Developed,9,Cafeteria,1,34.06568,-118.43502,Los Angeles,CA
24,1/24/2015,159861.0183,4,Suburbs,Developed,7,Banquet,3,34.04544,-118.44586,Los Angeles,CA
25,1/25/2015,131700.4988,2,Downtown,Developed,2,Full Service Restaurant,2,34.07928,-118.263,Los Angeles,CA
26,1/26/2015,164913.9832,4,Downtown,Developed,6,Banquet,2,34.12521,-118.29057,Los Angeles,CA
27,1/27/2015,107402.4945,2,Suburbs,Developed,7,Cafeteria,3,34.09989,-118.32691,Los Angeles,CA
28,1/28/2015,201162.0254,5,Downtown,Developed,6,Full Service Restaurant,5,34.08984,-118.29471,Los Angeles,CA
29,1/29/2015,159622.195,3,Downtown,Recent,1,Cafeteria,2,34.08022,-118.21073,Los Angeles,CA
30,1/30/2015,104391.4738,6,Suburbs,Well-Known,10,Banquet,3,34.07956,-118.17807,Los Angeles,CA
31,1/31/2015,145092.7852,4,Downtown,Developed,1,Cafeteria,2,34.05105,-118.21163,Los Angeles,CA
32,2/1/2015,201308.3495,5,Downtown,Developed,2,Full Service Restaurant,2,34.03068,-118.39953,Los Angeles,CA
33,2/2/2015,139076.7825,1,Suburbs,Well-Known,8,Cafeteria,2,34.05182,-118.38351,Los Angeles,CA
34,2/3/2015,152209.0208,6,Downtown,Recent,10,Banquet,3,34.07016,-118.34987,Los Angeles,CA
35,2/4/2015,187064.677,2,Downtown,Recent,3,Full Service Restaurant,5,34.00268,-118.28748,Los Angeles,CA
36,2/5/2015,132883.1969,5,Downtown,Recent,1,Full Service Restaurant,3,34.08876,-118.32652,Los Angeles,CA
37,2/6/2015,156793.2018,2,Downtown,Well-Known,10,Cafeteria,3,34.1118,-118.26001,Los Angeles,CA
38,2/7/2015,83485.09365,3,Suburbs,Recent,4,Cafeteria,3,33.99353,-118.14907,Los Angeles,CA
39,2/8/2015,196577.011,5,Suburbs,Developed,5,Full Service Restaurant,1,34.13765,-118.20762,Los Angeles,CA
40,2/9/2015,140319.8552,1,Downtown,Well-Known,5,Banquet,3,34.11462,-118.19202,Los Angeles,CA
41,2/10/2015,123535.2461,5,Downtown,Recent,1,Banquet,4,33.98886,-118.33517,Los Angeles,CA
42,2/11/2015,168220.3071,4,Downtown,Well-Known,4,Cafeteria,1,33.95278,-118.29188,Los Angeles,CA
43,2/12/2015,189187.6621,4,Downtown,Developed,6,Banquet,3,33.95297,-118.40014,Los Angeles,CA
44,2/13/2015,86858.43303,3,Suburbs,Recent,10,Banquet,3,34.10746,-118.36525,Los Angeles,CA
45,2/14/2015,174904.2166,2,Downtown,Developed,1,Banquet,2,33.9545,-118.309,Los Angeles,CA
46,2/15/2015,162916.0361,4,Downtown,Developed,8,Cafeteria,4,34.07297,-118.37265,Los Angeles,CA
47,2/16/2015,142017.5032,1,Suburbs,Developed,10,Cafeteria,3,34.08718,-118.48925,Los Angeles,CA
48,2/17/2015,163439.4129,7,Suburbs,Well-Known,7,Full Service Restaurant,3,33.98809,-118.37033,Los Angeles,CA
49,2/18/2015,143790.1423,7,Suburbs,Developed,10,Full Service Restaurant,1,34.06224,-118.27716,Los Angeles,CA
50,2/19/2015,144241.3332,4,Suburbs,Well-Known,10,Cafeteria,2,34.00244,-118.21392,Los Angeles,CA
51,2/20/2015,140869.6469,4,Downtown,Developed,7,Full Service Restaurant,4,33.92621,-118.24964,Los Angeles,CA
52,2/21/2015,115922.9865,1,Downtown,Developed,9,Cafeteria,2,33.92045,-118.27403,Los Angeles,CA
53,2/22/2015,129473.1,3,Suburbs,Well-Known,2,Cafeteria,4,34.00376,-118.30875,Los Angeles,CA
