ID,Date,Prmotion,Channel,Product Category,Disocunt,Number of Ads,Number of Senior Staff,Sample available,Sales
1,1/1/2014,0,Mobile,Dairy ,0.68,126000,13,No,3196.723345
2,1/8/2014,1,Mail-in,Dairy ,0.34,130000,13,No,2741.985385
3,1/15/2014,1,Mobile,Others,0.56,69000,7,Yes,2841.700086
4,1/22/2014,1,Non,Dairy ,0.65,23000,14,No,2442.14861
5,1/29/2014,1,Mobile,Snack,0.68,49000,12,No,3282.592675
6,2/5/2014,1,Mobile,Snack,0.21,54000,12,Yes,2854.006785
7,2/12/2014,0,Mail-in,Snack,0.48,52000,11,No,2966.048589
8,2/19/2014,0,Mobile,Dairy ,0.5,139000,12,No,3043.827038
9,2/26/2014,0,Mobile,Dairy ,0.45,19000,10,No,2629.423699
10,3/5/2014,0,Mobile,Vegetable,0.31,69000,11,Yes,2864.200086
11,3/12/2014,1,Coupon,Dairy ,0.48,35000,14,No,2495.557189
12,3/19/2014,0,Coupon,Vegetable,0.41,22000,7,No,2473.453025
13,3/26/2014,1,Non,Dairy ,0.68,35000,14,Yes,2548.057189
14,4/2/2014,1,Non,Meat,0.38,139000,7,No,2907.327038
15,4/9/2014,0,Mobile,Snack,0.5,23000,10,No,2972.14861
16,4/16/2014,0,Coupon,Others,0.65,147000,8,Yes,2791.644152
17,4/23/2014,1,Non,Snack,0.4,101000,8,Yes,2737.447753
18,4/30/2014,0,Coupon,Dairy ,0.3,141000,15,No,2581.460944
19,5/7/2014,1,Coupon,Snack,0.4,167000,14,No,2967.662653
20,5/14/2014,1,Non,Vegetable,0.24,27000,15,Yes,2212.211032
21,5/21/2014,0,Non,Meat,0.23,83000,15,No,2669.759568
22,5/28/2014,0,Mail-in,Dairy ,0.47,12000,11,Yes,2426.199586
23,6/4/2014,0,Coupon,Others,0.62,6000,10,Yes,2173.403833
24,6/11/2014,0,Mobile,Dairy ,0.41,9000,14,Yes,2453.659556
25,6/18/2014,1,Mobile,Vegetable,0.35,152000,12,Yes,3047.810957
26,6/25/2014,0,Coupon,Snack,0.62,131000,7,No,3131.898192
27,7/2/2014,1,Mobile,Meat,0.55,96000,9,Yes,3413.086844
28,7/9/2014,1,Mail-in,Meat,0.48,72000,13,No,3156.046815
29,7/16/2014,1,Mail-in,Vegetable,0.61,131000,15,No,3129.898192
30,7/23/2014,0,Non,Others,0.27,86000,12,No,2194.305946
31,7/30/2014,1,Mail-in,Vegetable,0.2,132000,8,No,2741.800254
32,8/6/2014,1,Mail-in,Dairy ,0.61,20000,12,No,2653.380659
33,8/13/2014,0,Coupon,Dairy ,0.48,8000,10,Yes,2223.443862
34,8/20/2014,0,Mobile,Meat,0.63,108000,10,Yes,3510.802538
35,8/27/2014,1,Non,Others,0.37,139000,10,No,2377.827038
36,9/3/2014,1,Non,Meat,0.24,50000,10,No,2585.817455
37,9/10/2014,0,Mail-in,Meat,0.68,63000,15,Yes,3321.427592
38,9/17/2014,0,Coupon,Meat,0.35,76000,11,Yes,2905.015204
39,9/24/2014,1,Coupon,Meat,0.56,83000,15,Yes,3120.759568
40,10/1/2014,0,Mail-in,Snack,0.27,97000,14,Yes,2881.497434
41,10/8/2014,1,Coupon,Vegetable,0.26,34000,12,No,2411.212748
42,10/15/2014,0,Mobile,Others,0.43,43000,14,Yes,2631.010193
43,10/22/2014,1,Mail-in,Snack,0.25,22000,9,No,2588.953025
44,10/29/2014,1,Mobile,Snack,0.51,94000,10,No,3241.205221
45,11/5/2014,1,Coupon,Meat,0.39,49000,8,No,2862.092675
46,11/12/2014,1,Non,Snack,0.29,115000,12,No,2656.881159
47,11/19/2014,0,Mail-in,Vegetable,0.26,151000,13,No,2823.593987
48,11/26/2014,0,Mobile,Snack,0.42,142000,8,No,3231.76392
49,12/3/2014,0,Mail-in,Meat,0.55,138000,9,No,3342.495839
50,12/10/2014,1,Non,Dairy ,0.21,4000,8,Yes,1701.64811
51,12/17/2014,0,Mail-in,Snack,0.54,48000,8,No,3008.291091
52,12/24/2014,0,Non,Vegetable,0.37,69000,12,Yes,2508.700086
53,12/31/2014,1,Coupon,Others,0.22,56000,11,Yes,2205.211898
54,1/7/2015,1,Coupon,Others,0.44,128000,13,Yes,2566.626874
55,1/14/2015,0,Mobile,Snack,0.67,152000,13,No,3481.810957
56,1/21/2015,0,Non,Others,0.3,81000,9,No,2211.762508
