Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
New Equipment,1,7,6,Financial Services,10,No,3273558.264,24518844.19,61,63.86710005
Real Estate,2,7,8,Retail,4,Yes,7285321.909,22542196.28,46,71.1463738
Working Capital,3,8,6,Financial Services,6,Yes,3948033.484,18114339.1,43,81.05096481
Employee/Payroll,4,3,9,High-Tech,1,No,8578697.135,17367150.01,38,58.79651819
Employee/Payroll,5,5,10,Healthcare,15,Yes,3951299.113,5835414.43,40,66.93657054
New Equipment,6,10,7,Healthcare,18,Yes,5956790.9,31800020.94,46,48.53571152
Real Estate,7,5,8,High-Tech,16,No,8287799.859,19656616.45,30,35.57462687
New Equipment,8,10,8,Financial Services,17,No,4324004.774,22120490.72,39,46.69710733
Inventory,9,3,7,Financial Services,1,No,6066248.64,25032945.08,30,66.09872073
Real Estate,10,14,10,Healthcare,13,Yes,7750205.685,28317111.72,27,46.73571642
Operation Expansion,11,10,5,Retail,11,Yes,3138553.806,34006734.63,38,67.71588471
Working Capital,12,10,8,Healthcare,2,Yes,5137164.956,29359626.15,32,75.28458377
Working Capital,13,17,3,High-Tech,11,Yes,7824914.063,30095894.96,43,53.53032766
New Equipment,14,18,7,Healthcare,11,Yes,6752479.479,19542078.01,33,58.7408239
Operation Expansion,15,7,5,High-Tech,8,No,5967710.566,20255530.62,24,55.04778943
Employee/Payroll,16,15,3,Financial Services,8,No,6947304.061,23943412.66,46,52.1391237
New Equipment,17,7,2,Retail,2,Yes,7436639.191,23110061.75,23,75.68392021
Working Capital,18,15,6,High-Tech,4,No,2663172.747,27883761.09,51,68.71783217
Employee/Payroll,19,4,4,Healthcare,8,No,6102259.832,18170737.75,29,57.50105597
New Equipment,20,6,3,Retail,12,No,5416457.326,35147724.73,61,51.46211011
Inventory,21,4,5,Healthcare,5,Yes,5588127.56,30248053.29,28,71.11393818
Real Estate,22,17,10,Retail,12,Yes,3457966.189,25753580.14,46,64.26107968
Operation Expansion,23,20,2,Hospitality,3,Yes,5304199.137,25348729.31,48,75.3971495
Real Estate,24,10,4,Healthcare,4,Yes,5142433.47,18677886.93,40,80.33432316
Real Estate,25,20,3,Manufacturing,19,No,5624724.091,30372868.28,37,36.02761338
Working Capital,26,16,6,Retail,19,Yes,5939897.187,24458542.26,39,47.70849386
Inventory,27,15,4,Manufacturing,2,Yes,3660332.364,33685662.7,23,78.31922127
Inventory,28,15,7,Hospitality,10,Yes,9303208.485,23838290.9,35,48.82250919
Employee/Payroll,29,19,2,Manufacturing,3,Yes,3607633.947,31357777.05,62,80.67410037
Operation Expansion,30,20,5,Manufacturing,2,Yes,4236664.453,15607610.9,17,80.16133822
Employee/Payroll,31,5,2,High-Tech,19,No,5566176.246,25734223.27,39,39.86619563
New Equipment,32,3,7,Retail,7,No,4776468.345,15760848.79,25,64.83858296
Real Estate,33,18,2,Retail,11,No,7033973.616,23345096.36,54,48.81441253
Real Estate,34,20,6,Financial Services,14,No,5166038.101,7544681.535,62,53.59942962
New Equipment,35,14,4,Retail,1,No,5430703.341,38606393.78,23,61.34531831
Real Estate,36,6,7,High-Tech,19,Yes,6649318.617,39209514.9,60,42.6548919
Employee/Payroll,37,19,9,Hospitality,9,Yes,5202915.341,29505119.78,47,58.76229467
Real Estate,38,18,1,Healthcare,14,No,5443271.164,19004538.55,62,51.17992332
Real Estate,39,6,7,Retail,7,Yes,5279262.701,15113697.07,17,72.13425012
New Equipment,40,20,8,Financial Services,9,Yes,2981359.961,18328989.37,38,74.47618783
Real Estate,41,4,9,High-Tech,8,Yes,5493007.555,24001989.28,20,65.58994754
New Equipment,42,4,1,Healthcare,6,No,3234506.618,29566408.43,60,71.83157745
Working Capital,43,1,3,Hospitality,4,No,5013641.272,17490170.27,22,68.53541728
Real Estate,44,1,5,Hospitality,12,Yes,5613515.652,22874419.41,16,60.88735272
Inventory,45,8,7,Hospitality,10,No,6025006.777,19703569.33,22,48.69919592
Inventory,46,19,4,Manufacturing,20,Yes,4481610.322,26825909.68,35,49.75610731
Real Estate,47,13,8,Financial Services,12,Yes,7117835.069,26826261.68,33,54.44999271
Real Estate,48,9,7,Manufacturing,17,No,4565864.847,25613944.1,49,46.16313852
Working Capital,49,14,10,Healthcare,9,No,5256147.589,23770230.27,50,52.12887871
New Equipment,50,3,4,Retail,9,Yes,5866189.012,35032736.25,37,66.32890513
Working Capital,51,18,10,Hospitality,1,Yes,6748114.363,18768030.87,65,73.08119335
Operation Expansion,52,11,7,Retail,20,Yes,3675629.823,27384269.3,26,50.92186762
New Equipment,53,13,8,Healthcare,18,Yes,3896264.448,20212305.3,34,57.12385966
New Equipment,54,7,6,Retail,4,No,5325725.389,21332534.86,23,64.69745622
New Equipment,55,14,7,Healthcare,15,No,4870948.722,12806952.97,33,49.83477776
New Equipment,56,10,8,Financial Services,10,No,3329144.798,44561866.54,28,50.90239127
Working Capital,57,8,10,Manufacturing,20,Yes,5409477.336,17309460.93,44,51.8410655
Operation Expansion,58,18,7,Manufacturing,7,Yes,6437506.894,22455161.6,49,66.24411094
Inventory,59,16,6,Manufacturing,15,Yes,5609133.035,30895327.22,18,49.04068932
Inventory,60,16,5,Hospitality,9,Yes,6136630.886,27273423.31,49,61.04737028
New Equipment,61,12,7,High-Tech,5,Yes,2663827.089,18393863.4,62,84.98023249
Inventory,62,11,1,Financial Services,20,Yes,2161837.252,25212647.01,55,63.12191005
Operation Expansion,63,12,7,High-Tech,3,No,4263356.063,25253956.88,53,66.25849896
New Equipment,64,10,3,Financial Services,16,Yes,6016977.459,29908184.06,19,52.37531903
Inventory,65,4,6,High-Tech,14,No,3424266.261,30239293.87,22,48.59336926
Operation Expansion,66,19,9,Financial Services,5,Yes,4172267.646,18549185.65,18,71.77723525
Employee/Payroll,67,7,4,High-Tech,1,No,3908117.515,23266743.63,55,74.20900089
New Equipment,68,8,10,Financial Services,14,Yes,3965444.419,23359797.79,56,64.76465171
Inventory,69,12,3,High-Tech,20,No,6294580.621,16350410.31,20,34.34887801
